Mês,Brasil
01/01/00,4.656.262
01/02/00,4.708.777
01/03/00,4.910.081
01/04/00,4.910.081
01/05/00,5.111.386
01/06/00,4.866.319
01/07/00,5.041.367
01/08/00,5.023.862
01/09/00,4.901.329
01/10/00,4.997.605
01/11/00,5.085.129
01/12/00,7.010.651
01/01/01,4.743.786
01/02/01,4.472.463
01/03/01,5.032.614
01/04/01,4.813.805
01/05/01,4.997.605
01/06/01,4.805.053
01/07/01,483.131
01/08/01,4.962.596
01/09/01,4.761.291
01/10/01,5.058.872
01/11/01,4.962.596
01/12/01,6.818.099
01/01/02,4.691.272
01/02/02,4.402.444
01/03/02,5.050.119
01/04/02,4.717.529
01/05/02,5.058.872
01/06/02,4.717.529
01/07/02,4.918.834
01/08/02,5.076.376
01/09/02,4.691.272
01/10/02,5.085.129
01/11/02,4.962.596
01/12/02,6.468.004
01/01/03,4.481.215
01/02/03,4.332.425
01/03/03,4.472.463
01/04/03,4.542.482
01/05/03,4.743.786
01/06/03,4.446.205
01/07/03,4.700.024
01/08/03,4.787.548
01/09/03,4.559.986
01/10/03,4.936.338
01/11/03,4.953.843
01/12/03,6.678.061
01/01/04,4.752.539
01/02/04,4.551.234
01/03/04,4.962.596
01/04/04,5.006.357
01/05/04,5.251.424
01/06/04,5.023.862
01/07/04,5.268.929
01/08/04,5.111.386
01/09/04,4.980.100
01/10/04,5.347.700
01/11/04,5.260.176
01/12/04,7.439.517
01/01/05,5.050.119
01/02/05,464.751
01/03/05,5.347.700
01/04/05,5.172.652
01/05/05,5.391.462
01/06/05,5.286.433
01/07/05,5.505.243
01/08/05,5.461.481
01/09/05,5.251.424
01/10/05,5.549.004
01/11/05,5.522.747
01/12/05,7.807.117
01/01/06,5.382.709
01/02/06,4.936.338
01/03/06,5.505.243
01/04/06,5.557.757
01/05/06,5.794.071
01/06/06,549.649
01/07/06,5.627.776
01/08/06,5.811.576
01/09/06,5.776.566
01/10/06,5.934.109
01/11/06,6.021.633
01/12/06,8.253.488
01/01/07,5.837.833
01/02/07,5.382.709
01/03/07,6.144.166
01/04/07,5.986.623
01/05/07,6.406.737
01/06/07,6.126.661
01/07/07,6.152.918
01/08/07,6.406.737
01/09/07,6.249.194
01/10/07,6.503.013
01/11/07,6.643.051
01/12/07,9.032.449
01/01/08,6.520.518
01/02/08,6.074.147
01/03/08,6.826.851
01/04/08,6.503.013
01/05/08,7.115.679
01/06/08,6.625.546
01/07/08,6.844.356
01/08/08,7.036.908
01/09/08,6.835.603
01/10/08,7.150.689
01/11/08,6.984.394
01/12/08,9.373.792
01/01/09,6.914.375
01/02/09,6.301.709
01/03/09,6.914.375
01/04/09,6.966.889
01/05/09,7.316.984
01/06/09,7.001.898
01/07/09,7.255.717
01/08/09,7.369.498
01/09/09,7.185.698
01/10/09,7.763.355
01/11/09,7.579.555
01/12/09,10.240.276
01/01/10,7.632.069
01/02/10,7.071.917
01/03/10,7.999.669
01/04/10,7.605.812
01/05/10,8.069.688
01/06/10,7.798.364
01/07/10,8.060.936
01/08/10,8.148.459
01/09/10,8.043.431
01/10/10,8.437.288
01/11/10,8.332.259
01/12/10,11.290.561
01/01/11,826.224
01/02/11,7.675.831
01/03/11,8.314.754
01/04/11,8.384.773
01/05/11,8.577.326
01/06/11,8.349.764
01/07/11,862.984
01/08/11,8.664.849
01/09/11,8.454.792
01/10/11,8.796.135
01/11/11,8.892.411
01/12/11,12.043.265
01/01/12,8.901.163
01/02/12,8.489.802
01/03/12,9.356.287
01/04/12,8.883.659
01/05/12,9.277.515
01/06/12,9.128.725
01/07/12,9.251.258
01/08/12,9.531.334
01/09/12,9.181.239
01/10/12,9.601.353
01/11/12,9.636.363
01/12/12,12.655.931
01/01/13,9.435.058
01/02/13,8.463.545
01/03/13,9.776.401
01/04/13,9.032.449
01/05/13,9.688.877
01/06/13,9.277.515
01/07/13,981.141
01/08/13,10.117.743
01/09/13,9.566.344
01/10/13,10.117.743
01/11/13,10.319.048
01/12/13,13.146.064
01/01/14,10.038.972
01/02/14,9.198.744
01/03/14,9.671.372
01/04/14,9.636.363
01/05/14,10.135.248
